Time, Sample Count, IR Count, Red Count, Raw ECG, Raw ECG (mV), Filtered ECG, Filtered ECG (mV)
2023-10-26 13:47:45.085,94878,204180,185387,51097,15.644623975,-10221,-3.129414675
2023-10-26 13:47:45.085,94879,204167,185373,-26475,-8.105983125,1701,0.520803675
2023-10-26 13:47:45.085,94880,204192,185383,-61544,-18.8432342,-964,-0.2951527
2023-10-26 13:47:45.085,94881,204178,185372,12662,3.87678785,-12875,-3.942003125
2023-10-26 13:47:45.085,94882,204207,185387,52615,16.109397625,-10171,-3.114105925
2023-10-26 13:47:45.115,94883,204205,185382,-24360,-7.458423,2023,0.619392025
2023-10-26 13:47:45.115,94884,204267,185397,-59837,-18.320593475,-279,-0.085422825
2023-10-26 13:47:45.115,94885,204285,185419,14068,4.3072699,-12218,-3.74084615
2023-10-26 13:47:45.115,94886,204327,185433,55067,16.860138725,-9829,-3.009394075
2023-10-26 13:47:45.115,94887,204364,185460,-21828,-6.6831879,2119,0.648784825
2023-10-26 13:47:45.115,94888,204418,185486,-60467,-18.513483725,-287,-0.087872225
2023-10-26 13:47:45.115,94889,204470,185503,11854,3.62939845,-12447,-3.810960225
2023-10-26 13:47:45.115,94890,204509,185527,54994,16.83778795,-10476,-3.2074893
2023-10-26 13:47:45.115,94891,204554,185535,-21666,-6.63358755,1245,0.381187875
2023-10-26 13:47:45.115,94892,204597,185567,-62313,-19.078682775,-1150,-0.35210125
2023-10-26 13:47:45.115,94893,204631,185578,10259,3.141049325,-13479,-4.126932825
2023-10-26 13:47:45.115,94894,204674,185589,54753,16.763999775,-11650,-3.56693875
2023-10-26 13:47:45.145,94895,204707,185582,-20697,-6.336903975,581,0.177887675
2023-10-26 13:47:45.145,94896,204735,185606,-61202,-18.73852235,-1001,-0.306481175
2023-10-26 13:47:45.145,94897,204743,185603,10946,3.35139155,-12955,-3.966497125
2023-10-26 13:47:45.145,94898,204743,185603,56411,17.271637925,-11101,-3.398848675
2023-10-26 13:47:45.145,94899,204796,185627,-18248,-5.5870814,1181,0.361592675
2023-10-26 13:47:45.145,94900,204845,185639,-60526,-18.53154805,-230,-0.07042025
2023-10-26 13:47:45.145,94901,204881,185656,10895,3.335776625,-11958,-3.66124065
2023-10-26 13:47:45.145,94902,204907,185673,57034,17.46238495,-9772,-2.9919421
2023-10-26 13:47:45.145,94903,204917,185660,-17254,-5.28274345,3089,0.945774575
2023-10-26 13:47:45.145,94904,204982,185700,-61898,-18.95162015,2095,0.641436625
2023-10-26 13:47:45.175,94905,204981,185710,8488,2.5988134,-10077,-3.085325475
2023-10-26 13:47:45.175,94906,205028,185717,55758,17.07170565,-8913,-2.728937775
2023-10-26 13:47:45.175,94907,205029,185717,-18454,-5.65015345,3224,0.9871082
2023-10-26 13:47:45.175,94908,205050,185734,-63075,-19.311988125,1769,0.541623575
2023-10-26 13:47:45.175,94909,205048,185726,5449,1.668347575,-11007,-3.370068225
2023-10-26 13:47:45.175,94910,205070,185726,54632,16.7269526,-10297,-3.152683975
2023-10-26 13:47:45.175,94911,205063,185721,-16530,-5.06107275,1953,0.597959775
2023-10-26 13:47:45.175,94912,205078,185730,-62010,-18.98591175,1094,0.33495545
2023-10-26 13:47:45.175,94913,205103,185717,6902,2.11321985,-11024,-3.3752732
2023-10-26 13:47:45.175,94914,205089,185723,55960,17.133553,-9838,-3.01214965
2023-10-26 13:47:45.175,94915,205077,185728,-16642,-5.09536435,2898,0.88729515
2023-10-26 13:47:45.205,94916,205084,185731,-63048,-19.3037214,2502,0.76604985
2023-10-26 13:47:45.205,94917,205067,185704,6029,1.845929075,-9552,-2.9245836
2023-10-26 13:47:45.205,94918,205052,185702,57272,17.5352546,-8615,-2.637697625
2023-10-26 13:47:45.205,94919,205049,185685,-12378,-3.78983415,3963,1.213371525
